,Facility Id,FRS Id,Facility Name,City,State,Latitude,Longitude,Total reported emissions,CO2 emissions,Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,SF6 emissions,Subpart Letter,Name of industry,Facility Type
109,1002340,110013947881,CITY OF LA GRANGE LANDFILL,LAGRANGE,GA,33.0478,-84.9557,8596.5,,8596.5,,,HH,Municipal Landfills,Direct Emitter
110,1004868,110017397137,CITY OF LOMPOC SANITARY LANDFILL,LOMPOC,CA,34.6254,-120.4831,15424.25,,15424.25,,,HH,Municipal Landfills,Direct Emitter
111,1004261,110071161804,CITY OF PHOENIX - SKUNK CREEK LANDFILL,PHOENIX,AZ,33.71267,-112.12774,18455.5,,18455.5,,,HH,Municipal Landfills,Direct Emitter
112,1006280,110002574633,CITY OF PHOENIX 27TH AVE LANDFILL,PHOENIX,AZ,33.4192,-112.11763,31089.5,,31089.5,,,HH,Municipal Landfills,Direct Emitter
113,1002700,110030747672,CITY OF SNYDER LANDFILL,SNYDER,TX,32.683427,-100.81364,33254.0,,33254.0,,,HH,Municipal Landfills,Direct Emitter
114,1007290,110013947854,CITY OF TIFTON / OMEGA / ELDORADO ROAD LF,TIFTON,GA,31.35565,-83.535512,60942.5,,60942.5,,,HH,Municipal Landfills,Direct Emitter
115,1004364,110012694218,CITY OF WATSONVILLE LANDFILL,WATSONVILLE,CA,36.91139,-121.82969,3676.5,,3676.5,,,HH,Municipal Landfills,Direct Emitter
116,1007932,110001853628,CITY SAND & LANDFILL INC,SUMPTER TWP,MI,42.110086,-83.494311,9899.25,,9899.25,,,HH,Municipal Landfills,Direct Emitter
117,1004759,110059691864,CLARK-FLOYD LANDFILL,BORDEN,IN,38.456,-85.838,24618.75,,24618.75,,,HH,Municipal Landfills,Direct Emitter
118,1005825,110071162427,CLEVELAND COUNTY LANDFILL,SHELBY,NC,35.300926,-81.545135,139753.0,,139753.0,,,HH,Municipal Landfills,Direct Emitter
119,1005316,110054207443,CLINT LANDFILL,EL PASO,TX,31.5981,-106.1723,236832.75,,236832.75,,,HH,Municipal Landfills,Direct Emitter
120,1004223,110022731098,CLOVIS REGIONAL SOLID WASTE FACILITY,CLOVIS,NM,34.38993,-103.17858,46126.25,,46126.25,,,HH,Municipal Landfills,Direct Emitter
